Name,Price,Rating,Company,Image URL,Product Link
Nike WOMENS GYM ELEMENTAL FITNESS GLOVES Nlgd2010,EGP 650.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/821583/1.jpg?5630,https://www.jumia.com.eg//nike-womens-gym-elemental-fitness-gloves-nlgd2010-38512898.html
Nike Legend Essential Women's Black CQ9545002,"EGP 2,500.00",5 out of 5(1),Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/277362/1.jpg?6026,https://www.jumia.com.eg//nike-legend-essential-womens-black-cq9545002-26377251.html
Nike Jr. Phantom GT2 Club TF DC0827-001,"EGP 1,750.00",5 out of 5(1),Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/487773/1.jpg?8208,https://www.jumia.com.eg//nike-jr.-phantom-gt2-club-tf-dc0827-001-37778466.html
Nike Blouse W Nk Dry Leg Tee Crew Black AQ3210-010,EGP 750.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/910273/1.jpg?9508,https://www.jumia.com.eg//nike-blouse-w-nk-dry-leg-tee-crew-black-aq3210-010-37201974.html
Nike Running Breathe Run T-shirt In Blue CJ5332-480,EGP 800.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/330933/1.jpg?2262,https://www.jumia.com.eg//nike-running-breathe-run-t-shirt-in-blue-cj5332-480-33903371.html
Nike Court Vapor Lite Women's Clay Court Tennis Shoe DH2945 024,"EGP 2,750.00 - EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/750472/1.jpg?5028,https://www.jumia.com.eg//nike-court-vapor-lite-womens-clay-court-tennis-shoe-dh2945-024-27405716.html
Nike STAR RUNNER 3 KIDS SHOES DA2777-607,"EGP 2,250.00",5 out of 5(1),Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/255573/1.jpg?4306,https://www.jumia.com.eg//nike-star-runner-3-kids-shoes-da2777-607-37555235.html
Nike Pitch Ball - Pink CU8034-675,EGP 950.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/071343/1.jpg?8754,https://www.jumia.com.eg//nike-pitch-ball-pink-cu8034-675-34317094.html
Nike HYPERCHARGE STRAW BOTTLE N000318402524-,EGP 650.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/239483/1.jpg?6044,https://www.jumia.com.eg//nike-hypercharge-straw-bottle-n000318402524-38493286.html
Nike Mc Trainer 2 M DM0823-400 Blue,"EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/571673/1.jpg?6264,https://www.jumia.com.eg//nike-mc-trainer-2-m-dm0823-400-blue-37617504.html
Nike Sportswear DO1824-480,EGP 700.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/180873/1.jpg?1546,https://www.jumia.com.eg//nike-sportswear-do1824-480-37808127.html
Nike W Gym Ultimate Fg Gloves N0002778010,EGP 800.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/921583/1.jpg?5630,https://www.jumia.com.eg//nike-w-gym-ultimate-fg-gloves-n0002778010-38512920.html
Nike Footwear Nike Downshifter 12 Black DD9293 001,"EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/954344/1.jpg?0205,https://www.jumia.com.eg//nike-footwear-nike-downshifter-12-black-dd9293-001-44345945.html
Nike Renew Retaliation 4 Men's Training Shoes DH0606-001,"EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/954344/1.jpg?0273,https://www.jumia.com.eg//nike-renew-retaliation-4-mens-training-shoes-dh0606-001-44345948.html
Nike Ultimate Fitness Black Grey Nlgc2017,EGP 900.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/821583/1.jpg?5630,https://www.jumia.com.eg//nike-ultimate-fitness-black-grey-nlgc2017-38512889.html
Nike Flex Experience Run 11 Next Nature DD9284-008,"EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/877773/1.jpg?3650,https://www.jumia.com.eg//nike-flex-experience-run-11-next-nature-dd9284-008-37777849.html
Nike Dri-Fit Challenger Woven Pant DD4894-010,"EGP 2,750.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/668343/1.jpg?3970,https://www.jumia.com.eg//nike-dri-fit-challenger-woven-pant-dd4894-010-34386619.html
Nike Revolution 6 Jr DD1095-003 Shoes,"EGP 2,250.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/654344/1.jpg?9968,https://www.jumia.com.eg//nike-revolution-6-jr-dd1095-003-shoes-44345690.html
